n,error_type,edit_distance,broken,reference
1,IndentationError,0,"num_spiders = int(input())
num_cats = int(input())
if num_spiders > 10:
    if num_cats > num_spiders:
        print('猫会吃掉蜘蛛')
    else:
        print('猫吃不完蜘蛛')
else:
print('蜘蛛很少')","num_spiders = int(input())
num_cats = int(input())
if num_spiders > 10:
    if num_cats > num_spiders:
        print('猫会吃掉蜘蛛')
    else:
        print('猫吃不完蜘蛛')
else:
    print('蜘蛛很少')"
2,SyntaxError,1,"print('I can')
print('swim.')
my_age = 10
print('my age:' my_age)","print('I can')
print('swim.')
my_age = 10
print('my age:', my_age)"
3,IndentationError,0,"user_age = int(input())
    if user_age == 18:
        num_candles = 18
    else:
        num_candles = 3
    print(num_candles)","user_age = int(input())
if user_age == 18:  
    num_candles = 18
else:
    num_candles = 3
print(num_candles)"
4,IndentationError,0,"film_rate = int(input())
if film_rate > 7:
print('好看')
else:
print('不好看')","film_rate = int(input())

if film_rate > 7:
    print('好看')
else:
    print('不好看')"
5,SyntaxError,2,"input_dict = input()
input_dict = eval(input_dict)

user_info={}

def log_user(user_name):
    if user_name in user_info:
        user_info[user_name]+=1;
    else user_info[user_name]=1
	
def print_user_log(user_name):
    if user_name in user_info:
        print(user_info[user_name])
    else:
        print(0)
for i in input_dict['log']:
    log_user(i)
for i in input_dict['print']:
    print_user_log(i)","input_dict = input()
input_dict = eval(input_dict)

user_info = {}
def log_user(user_name):
    if user_name in user_info:
        user_info[user_name] += 1
    else:
        user_info[user_name] = 1
        
def print_user_log(user_name):
    if user_name in user_info:
        print(user_info[user_name])
    else:
        print(0)

for i in input_dict['log']:
    log_user(i)
for i in input_dict['print']:
    print_user_log(i)"
6,IndentationError,0,"param = input()
    print(param[4])","param = input()

print(param[4])"
7,SyntaxError,1,"user_age = int(input())
if user_age == 18:
    num_candles = 18
else
    num_candles = 3
    
print(num_candles)","user_age = int(input())
if user_age == 18:  
    num_candles = 18
else:
    num_candles = 3
print(num_candles)"
8,SyntaxError,2,"user_age = int input()
if user_age == 18:
    num_candles = 18
else:
    num_candles = 3
print(num_candles)","user_age = int(input())
if user_age == 18:  
    num_candles = 18
else:
    num_candles = 3
print(num_candles)"
9,IndentationError,3,"def welcome_to_circle_cat():
print('Welcome to circle cat!')

welcome_to_circle_cat()
welcome_to_circle_cat()","def welcome_to_circle_cat():
    print('Welcome to circle cat!')

welcome_to_circle_cat()
welcome_to_circle_cat()
welcome_to_circle_cat()"
10,IndentationError,0,"num_spiders = int(input())
num_cats = int(input())
if num_spiders > 10:
if num_cats > num_spiders:
    print('猫会吃掉蜘蛛')
else:
    print('猫吃不完蜘蛛')
else:
    print('蜘蛛很少')","num_spiders = int(input())
num_cats = int(input())
if num_spiders > 10:
    if num_cats > num_spiders:
        print('猫会吃掉蜘蛛')
    else:
        print('猫吃不完蜘蛛')
else:
    print('蜘蛛很少')"
11,SyntaxError,4,"def welcome_to_circle_cat()：
    print('Welcome to circle cat!')
welcome_to_circle_cat()
welcome_to_circle_cat()","def welcome_to_circle_cat():
    print('Welcome to circle cat!')

welcome_to_circle_cat()
welcome_to_circle_cat()
welcome_to_circle_cat()"
12,SyntaxError,5,"input_int = int(input())

def power_of_two(num):
    if num == 0
        return 1
    else:
        return power_of_two(num-1)*2

print(power_of_two(input_int))","input_int = int(input())

def power_of_two(num):
    if num == 0:
        return 1
    else:
        return 2 * power_of_two(num - 1)

print(power_of_two(input_int))"
13,SyntaxError,2,"time=int(input())
if: 
   8<time<22
   print('醒着')
else:
    print('睡觉了')","time = int(input())
if 8 < time < 22:
    print('醒着')
else:
    print('睡觉了')"
14,SyntaxError,1,print('生日快乐！'）,print('生日快乐！')
15,TabError,4,"for i in range(1,8):
    if i == 4:
		continue
    print(i)","for i in range(1,8):
    if (i == 4):
        continue
    print(i)"
16,IndentationError,3,"def welcome_to_circle_cat():
print ('Welcome to circle cat!')
welcome_to_circle_cat()

welcome_to_circle_cat()","def welcome_to_circle_cat():
    print('Welcome to circle cat!')

welcome_to_circle_cat()
welcome_to_circle_cat()
welcome_to_circle_cat()"
17,SyntaxError,1,"def welcome_to_circle_cat()
 print('Welcome to circle cat!')
welcome_to_circle_cat() 
welcome_to_circle_cat() 
welcome_to_circle_cat()","def welcome_to_circle_cat():
    print('Welcome to circle cat!')

welcome_to_circle_cat()
welcome_to_circle_cat()
welcome_to_circle_cat()"
18,IndentationError,2,"num_animals = int(input())
if num_animals >= 30:
    forest_size = 3
else:
    forest_size = 1
 print(forest_size)","num_animals = int(input()) 

if num_animals >= 30:
    forest_size = 3
else:
    forest_size = 1

print(forest_size)"
19,IndentationError,0,"param = int(input())

def convert_num(input_num):
    if (input_num >= 10):
        input_num = input_num - 10
         print(input_num)

convert_num(param)","param = int(input())

def convert_num(input_num):
    if (input_num >= 10):
        input_num = input_num - 10
    print(input_num)

convert_num(param)"
20,SyntaxError,2,"my_list = input().split(',')
new_list = []

for i in range(0，len(my_list)):
    new_list.append(my_list.pop())

print(','.join(new_list))","my_list = input().split(',')
new_list = []

for i in range(0, len(my_list)):
    new_list.append(my_list.pop())

print(','.join(new_list))"
21,SyntaxError,3,"for i in range(1,8):
    if i == 4
        continue
    print(i)","for i in range(1,8):
    if (i == 4):
        continue
    print(i)"
22,IndentationError,0,"num_spiders = int(input())
num_cats = int(input())
if num_spiders > 10:
    if num_cats > num_spiders:
    print('猫会吃掉蜘蛛')
    else:
    print('猫吃不完蜘蛛')
else:
print('蜘蛛很少')","num_spiders = int(input())
num_cats = int(input())
if num_spiders > 10:
    if num_cats > num_spiders:
        print('猫会吃掉蜘蛛')
    else:
        print('猫吃不完蜘蛛')
else:
    print('蜘蛛很少')"
23,SyntaxError,3,"print('你好'\'我在吃饭')
print()","print('你好')
print('我在吃饭')"
24,SyntaxError,1,"num_spiders = int(input())
num_cats = int(input())
if num_spiders > 10：
    if num_cats > num_spiders: 
    print('猫会吃掉蜘蛛')
    else:
    print('猫吃不完蜘蛛')
else:
print('蜘蛛很少')","num_spiders = int(input())
num_cats = int(input())
if num_spiders > 10:
    if num_cats > num_spiders:
        print('猫会吃掉蜘蛛')
    else:
        print('猫吃不完蜘蛛')
else:
    print('蜘蛛很少')"
25,SyntaxError,0,"user_age = int(input())
if user_age == 18:
    num_candles = 18
    else:
        num_candles = 3
        print(num_candles)","user_age = int(input())
if user_age == 18:  
    num_candles = 18
else:
    num_candles = 3
print(num_candles)"
26,SyntaxError,0,"num_spiders = int(input())
num_cats = int(input())
if num_spiders > 10:
    if num_cats > num_spiders:
        print('猫会吃掉蜘蛛')
else:
    print('猫吃不完蜘蛛')
else:
    print('蜘蛛很少')","num_spiders = int(input())
num_cats = int(input())
if num_spiders > 10:
    if num_cats > num_spiders:
        print('猫会吃掉蜘蛛')
    else:
        print('猫吃不完蜘蛛')
else:
    print('蜘蛛很少')"
27,SyntaxError,1,"input_int = int(input())

def days_left_to_sunday(day):
    if day < 7:
        print('还有' + str(7 - day) + '天到周日')
        days_left_to_sunday(day+1):
    else:
        print('到周日了!')

days_left_to_sunday(input_int)","input_int = int(input())

def days_left_to_sunday(day):
    if day < 7:
        print('还有' + str(7 - day) + '天到周日')
        days_left_to_sunday(day + 1)
    else:
        print('到周日了!')

days_left_to_sunday(input_int)"
28,IndentationError,0,"num_spiders = int(input())
num_cats = int(input())
if num_spiders > 10:
    if num_cats > num_spiders:
    print('猫会吃掉蜘蛛')
else:
    print('猫吃不完蜘蛛')
else:
    print('蜘蛛很少')","num_spiders = int(input())
num_cats = int(input())
if num_spiders > 10:
    if num_cats > num_spiders:
        print('猫会吃掉蜘蛛')
    else:
        print('猫吃不完蜘蛛')
else:
    print('蜘蛛很少')"
29,SyntaxError,5,"int(input())
int=film_rate；
if film_rate>7:
    print('好看')
else:
    print('不好看')","film_rate = int(input())

if film_rate > 7:
    print('好看')
else:
    print('不好看')"
30,SyntaxError,1,"print('你好')
print('我在吃饭')
print（）","print('你好')
print('我在吃饭')"
31,SyntaxError,4,"input_int = int(input())

def fibonacci(num):
   if num == 0:
      return 1
   elif num == 1:
      return 1
   else:
      return （num-2) + (num-1)

print(fibonacci(input_int))","input_int = int(input())

def fibonacci(num):
   if num == 0:
      return 1
   elif num == 1:
      return 1
   else:
      return fibonacci(num-2) + fibonacci(num-1)

print(fibonacci(input_int))"
32,SyntaxError,1,"num_students = int(input())
if num_students < 50,
    print('没到齐')
else: print('到齐了')","num_students = int(input())  

if num_students < 50:
    print('没到齐')
else:
    print('到齐了')"
33,SyntaxError,3,"num_students = int(input())
if num_students < 50：
    print('没到齐')
else：
    print('到齐了')","num_students = int(input())  

if num_students < 50:
    print('没到齐')
else:
    print('到齐了')"
34,SyntaxError,5,"input_int = int(input())

def power_of_two(num):
    if num == 0：
        return 1
    else:
        return power_of_two(num-1)*2

print(power_of_two(input_int))","input_int = int(input())

def power_of_two(num):
    if num == 0:
        return 1
    else:
        return 2 * power_of_two(num - 1)

print(power_of_two(input_int))"
35,IndentationError,3,"def welcome_to_circle_cat():
print('Welcome to circle cat!')
welcome_to_circle_cat()
welcome_to_circle_cat()","def welcome_to_circle_cat():
    print('Welcome to circle cat!')

welcome_to_circle_cat()
welcome_to_circle_cat()
welcome_to_circle_cat()"
36,IndentationError,2,"for i in range(1,8):
    if i == 4:
    continue
    print(i)","for i in range(1,8):
    if (i == 4):
        continue
    print(i)"
